kwic,frequence,pourcentage
"susciter le jalousie",357, 0.05215
"être le jalousie",289, 0.04222
"attiser le jalousie",245, 0.03579
"provoquer le jalousie",234, 0.03418
"exciter le jalousie",192, 0.02805
"attirer le jalousie",115, 0.01680
"éveiller le jalousie",102, 0.01490
"éviter le jalousie",69, 0.01008
"sentir le jalousie",44, 0.00643
"avoir aucun jalousie",43, 0.00628
"avoir un jalousie",38, 0.00555
"exciter son jalousie",36, 0.00526
"gérer le jalousie",35, 0.00511
"avoir le jalousie",35, 0.00511
"subir le jalousie",34, 0.00497
"exacerber le jalousie",34, 0.00497
"combattre le jalousie",27, 0.00394
"voir le jalousie",26, 0.00380
"déclencher le jalousie",26, 0.00380
"être un jalousie",23, 0.00336
"naître le jalousie",23, 0.00336
"évoquer le jalousie",22, 0.00321
"entraîner le jalousie",22, 0.00321
"connaître le jalousie",22, 0.00321
"éprouver aucun jalousie",21, 0.00307
"vaincre le jalousie",21, 0.00307
"exprimer son jalousie",20, 0.00292
"découvrir le jalousie",20, 0.00292
"cacher son jalousie",20, 0.00292
"attiser son jalousie",20, 0.00292
"susciter quelque jalousie",19, 0.00278
"faire le jalousie",19, 0.00278
"susciter son jalousie",18, 0.00263
"surmonter le jalousie",18, 0.00263
"engendrer le jalousie",18, 0.00263
"valoir le jalousie",17, 0.00248
"montrer son jalousie",17, 0.00248
"développer un jalousie",17, 0.00248
"éprouver un jalousie",16, 0.00234
"gérer son jalousie",16, 0.00234
"contenir son jalousie",16, 0.00234
"affronter le jalousie",16, 0.00234
"craindre le jalousie",15, 0.00219
"comprendre le jalousie",15, 0.00219
"aiguiser le jalousie",15, 0.00219
"vaincre son jalousie",14, 0.00205
"stopper le jalousie",14, 0.00205
"réveiller le jalousie",14, 0.00205
"nourrir un jalousie",14, 0.00205
"manifester son jalousie",14, 0.00205
"éviter tout jalousie",13, 0.00190
"appeler le jalousie",13, 0.00190
"éveiller son jalousie",12, 0.00175
"venir le jalousie",12, 0.00175
"utiliser le jalousie",12, 0.00175
"ressentir le jalousie",12, 0.00175
"puer le jalousie",12, 0.00175
"fuir le jalousie",12, 0.00175
"exciter leur jalousie",12, 0.00175
"causer le jalousie",12, 0.00175
"calmer le jalousie",12, 0.00175
"laisser le jalousie",11, 0.00161
"concerner le jalousie",11, 0.00161
"alimenter le jalousie",11, 0.00161
"être son jalousie",10, 0.00146
"ressentir aucun jalousie",10, 0.00146
"provoquer son jalousie",10, 0.00146
"ignorer le jalousie",10, 0.00146
"exciter mon jalousie",10, 0.00146
"augmenter le jalousie",10, 0.00146
"apaiser le jalousie",10, 0.00146
"aimer le jalousie",10, 0.00146
